gamma,seed,frequency
-0.0003, 100, 0.002 
-0.0002954545454545454, 100, 0.002 
-0.0002909090909090909, 100, 0.002 
-0.00028636363636363636, 100, 0.002 
-0.0002818181818181818, 100, 0.002 
-0.00027727272727272724, 100, 0.002 
-0.00027272727272727274, 100, 0.002 
-0.0002681818181818182, 100, 0.002 
-0.0002636363636363636, 100, 0.002 
-0.00025909090909090907, 100, 0.002 
-0.0002545454545454545, 100, 0.002 
-0.00025, 100, 0.002 
-0.00024545454545454545, 100, 0.004 
-0.0002409090909090909, 100, 0.004 
-0.00023636363636363636, 100, 0.004 
-0.0002318181818181818, 100, 0.01 
-0.00022727272727272725, 100, 0.01 
-0.00022272727272727272, 100, 0.016 
-0.00021818181818181818, 100, 0.024 
-0.00021363636363636363, 100, 0.03 
-0.00020909090909090904, 100, 0.038 
-0.0002045454545454545, 100, 0.054 
-0.00019999999999999998, 100, 0.066 
-0.00019545454545454543, 100, 0.09 
-0.0001909090909090909, 100, 0.106 
-0.00018636363636363636, 100, 0.132 
-0.0001818181818181818, 100, 0.146 
-0.00017727272727272725, 100, 0.164 
-0.00017272727272727272, 100, 0.204 
-0.00016818181818181816, 100, 0.244 
-0.00016363636363636363, 100, 0.286 
-0.00015909090909090905, 100, 0.324 
-0.00015454545454545452, 100, 0.36 
-0.00015, 100, 0.412 
-0.00014545454545454543, 100, 0.45 
-0.0001409090909090909, 100, 0.476 
-0.00013636363636363634, 100, 0.49 
-0.0001318181818181818, 100, 0.496 
-0.00012727272727272725, 100, 0.512 
-0.00012272727272727272, 100, 0.518 
-0.00011818181818181815, 100, 0.53 
-0.00011363636363636362, 100, 0.532 
-0.00010909090909090907, 100, 0.532 
-0.00010454545454545452, 100, 0.51 
-9.999999999999996e-05, 100, 0.486 
-9.545454545454543e-05, 100, 0.49 
-9.090909090909088e-05, 100, 0.496 
-8.636363636363635e-05, 100, 0.486 
-8.181818181818182e-05, 100, 0.46 
-7.727272727272725e-05, 100, 0.446 
-7.272727272727271e-05, 100, 0.434 
-6.818181818181816e-05, 100, 0.42 
-6.363636363636363e-05, 100, 0.404 
-5.909090909090906e-05, 100, 0.388 
-5.454545454545453e-05, 100, 0.372 
-4.999999999999997e-05, 100, 0.364 
-4.545454545454544e-05, 100, 0.364 
-4.0909090909090874e-05, 100, 0.35 
-3.636363636363632e-05, 100, 0.334 
-3.1818181818181814e-05, 100, 0.334 
-2.727272727272725e-05, 100, 0.314 
-2.272727272727269e-05, 100, 0.298 
-1.8181818181818128e-05, 100, 0.286 
-1.3636363636363625e-05, 100, 0.274 
-9.090909090909064e-06, 100, 0.266 
-4.545454545454504e-06, 100, 0.248 
0.0, 100, 0.226 
4.545454545454561e-06, 100, 0.21 
9.090909090909122e-06, 100, 0.188 
1.3636363636363682e-05, 100, 0.176 
1.8181818181818185e-05, 100, 0.162 
2.2727272727272746e-05, 100, 0.152 
2.7272727272727307e-05, 100, 0.14 
3.181818181818187e-05, 100, 0.114 
3.636363636363637e-05, 100, 0.08 
4.0909090909090935e-05, 100, 0.072 
4.545454545454549e-05, 100, 0.054 
5.0000000000000057e-05, 100, 0.046 
5.454545454545456e-05, 100, 0.036 
5.909090909090912e-05, 100, 0.028 
6.363636363636368e-05, 100, 0.018 
6.818181818181818e-05, 100, 0.014 
7.272727272727274e-05, 100, 0.012 
7.72727272727273e-05, 100, 0.008 
8.181818181818187e-05, 100, 0.008 
8.636363636363637e-05, 100, 0.002 
9.090909090909093e-05, 100, 0.002 
9.545454545454549e-05, 100, 0.0 
0.00010000000000000006, 100, 0.0 
0.00010454545454545456, 100, 0.0 
0.00010909090909090912, 100, 0.0 
0.00011363636363636368, 100, 0.0 
0.00011818181818181823, 100, 0.0 
0.00012272727272727275, 100, 0.0 
0.0001272727272727273, 100, 0.0 
0.00013181818181818187, 100, 0.0 
0.00013636363636363637, 100, 0.0 
0.00014090909090909093, 100, 0.0 
0.00014545454545454548, 100, 0.0 
0.00015, 100, 0.0 
