beta,gamma_freq,gamma_amp,gamma_mean,frequency
5.0000000000000004e-08, 0.0, 0.0, -0.0, 0.26
5.0000000000000004e-08, 0.0, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 0.0, 57.142857142857146, -28.571428571428573, 0.345
5.0000000000000004e-08, 0.0, 85.71428571428572, -42.85714285714286, 0.3825
5.0000000000000004e-08, 0.0, 114.28571428571429, -57.142857142857146, 0.435
5.0000000000000004e-08, 0.0, 142.85714285714286, -71.42857142857143, 0.465
5.0000000000000004e-08, 0.0, 171.42857142857144, -85.71428571428572, 0.515
5.0000000000000004e-08, 0.0, 200.0, -100.0, 0.505
5.0000000000000004e-08, 7.142857142857143, 0.0, -0.0, 0.26
5.0000000000000004e-08, 7.142857142857143, 28.571428571428573, -14.285714285714286, 0.3125
5.0000000000000004e-08, 7.142857142857143, 57.142857142857146, -28.571428571428573, 0.3575
5.0000000000000004e-08, 7.142857142857143, 85.71428571428572, -42.85714285714286, 0.4075
5.0000000000000004e-08, 7.142857142857143, 114.28571428571429, -57.142857142857146, 0.4825
5.0000000000000004e-08, 7.142857142857143, 142.85714285714286, -71.42857142857143, 0.5575
5.0000000000000004e-08, 7.142857142857143, 171.42857142857144, -85.71428571428572, 0.605
5.0000000000000004e-08, 7.142857142857143, 200.0, -100.0, 0.6525
5.0000000000000004e-08, 14.285714285714286, 0.0, -0.0, 0.26
5.0000000000000004e-08, 14.285714285714286, 28.571428571428573, -14.285714285714286, 0.315
5.0000000000000004e-08, 14.285714285714286, 57.142857142857146, -28.571428571428573, 0.3575
5.0000000000000004e-08, 14.285714285714286, 85.71428571428572, -42.85714285714286, 0.405
5.0000000000000004e-08, 14.285714285714286, 114.28571428571429, -57.142857142857146, 0.4625
5.0000000000000004e-08, 14.285714285714286, 142.85714285714286, -71.42857142857143, 0.5175
5.0000000000000004e-08, 14.285714285714286, 171.42857142857144, -85.71428571428572, 0.5825
5.0000000000000004e-08, 14.285714285714286, 200.0, -100.0, 0.615
5.0000000000000004e-08, 21.42857142857143, 0.0, -0.0, 0.26
5.0000000000000004e-08, 21.42857142857143, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 21.42857142857143, 57.142857142857146, -28.571428571428573, 0.345
5.0000000000000004e-08, 21.42857142857143, 85.71428571428572, -42.85714285714286, 0.3975
5.0000000000000004e-08, 21.42857142857143, 114.28571428571429, -57.142857142857146, 0.435
5.0000000000000004e-08, 21.42857142857143, 142.85714285714286, -71.42857142857143, 0.515
5.0000000000000004e-08, 21.42857142857143, 171.42857142857144, -85.71428571428572, 0.5275
5.0000000000000004e-08, 21.42857142857143, 200.0, -100.0, 0.5925
5.0000000000000004e-08, 28.571428571428573, 0.0, -0.0, 0.26
5.0000000000000004e-08, 28.571428571428573, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 28.571428571428573, 57.142857142857146, -28.571428571428573, 0.345
5.0000000000000004e-08, 28.571428571428573, 85.71428571428572, -42.85714285714286, 0.3925
5.0000000000000004e-08, 28.571428571428573, 114.28571428571429, -57.142857142857146, 0.4325
5.0000000000000004e-08, 28.571428571428573, 142.85714285714286, -71.42857142857143, 0.4975
5.0000000000000004e-08, 28.571428571428573, 171.42857142857144, -85.71428571428572, 0.5325
5.0000000000000004e-08, 28.571428571428573, 200.0, -100.0, 0.5225
5.0000000000000004e-08, 35.714285714285715, 0.0, -0.0, 0.26
5.0000000000000004e-08, 35.714285714285715, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 35.714285714285715, 57.142857142857146, -28.571428571428573, 0.35
5.0000000000000004e-08, 35.714285714285715, 85.71428571428572, -42.85714285714286, 0.4025
5.0000000000000004e-08, 35.714285714285715, 114.28571428571429, -57.142857142857146, 0.4275
5.0000000000000004e-08, 35.714285714285715, 142.85714285714286, -71.42857142857143, 0.5025
5.0000000000000004e-08, 35.714285714285715, 171.42857142857144, -85.71428571428572, 0.5325
5.0000000000000004e-08, 35.714285714285715, 200.0, -100.0, 0.535
5.0000000000000004e-08, 42.85714285714286, 0.0, -0.0, 0.26
5.0000000000000004e-08, 42.85714285714286, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 42.85714285714286, 57.142857142857146, -28.571428571428573, 0.35
5.0000000000000004e-08, 42.85714285714286, 85.71428571428572, -42.85714285714286, 0.3925
5.0000000000000004e-08, 42.85714285714286, 114.28571428571429, -57.142857142857146, 0.4425
5.0000000000000004e-08, 42.85714285714286, 142.85714285714286, -71.42857142857143, 0.4875
5.0000000000000004e-08, 42.85714285714286, 171.42857142857144, -85.71428571428572, 0.5125
5.0000000000000004e-08, 42.85714285714286, 200.0, -100.0, 0.555
5.0000000000000004e-08, 50.0, 0.0, -0.0, 0.26
5.0000000000000004e-08, 50.0, 28.571428571428573, -14.285714285714286, 0.31
5.0000000000000004e-08, 50.0, 57.142857142857146, -28.571428571428573, 0.345
5.0000000000000004e-08, 50.0, 85.71428571428572, -42.85714285714286, 0.3875
5.0000000000000004e-08, 50.0, 114.28571428571429, -57.142857142857146, 0.4375
5.0000000000000004e-08, 50.0, 142.85714285714286, -71.42857142857143, 0.495
5.0000000000000004e-08, 50.0, 171.42857142857144, -85.71428571428572, 0.52
5.0000000000000004e-08, 50.0, 200.0, -100.0, 0.545
5.0000000000000004e-08, 57.142857142857146, 0.0, -0.0, 0.26
5.0000000000000004e-08, 57.142857142857146, 28.571428571428573, -14.285714285714286, 0.3075
5.0000000000000004e-08, 57.142857142857146, 57.142857142857146, -28.571428571428573, 0.345
5.0000000000000004e-08, 57.142857142857146, 85.71428571428572, -42.85714285714286, 0.3825
5.0000000000000004e-08, 57.142857142857146, 114.28571428571429, -57.142857142857146, 0.44
