beta,gamma,seed,frequency
5.0000000000000004e-08, -0.0003, 100, 0.002 
5.0000000000000004e-08, -0.0002763157894736842, 100, 0.002 
5.0000000000000004e-08, -0.0002526315789473684, 100, 0.002 
5.0000000000000004e-08, -0.00022894736842105263, 100, 0.01 
5.0000000000000004e-08, -0.0002052631578947368, 100, 0.054 
5.0000000000000004e-08, -0.00018157894736842105, 100, 0.148 
5.0000000000000004e-08, -0.00015789473684210527, 100, 0.33 
5.0000000000000004e-08, -0.00013421052631578946, 100, 0.496 
5.0000000000000004e-08, -0.00011052631578947366, 100, 0.524 
5.0000000000000004e-08, -8.684210526315788e-05, 100, 0.488 
5.0000000000000004e-08, -6.315789473684208e-05, 100, 0.4 
5.0000000000000004e-08, -3.9473684210526296e-05, 100, 0.344 
5.0000000000000004e-08, -1.578947368421052e-05, 100, 0.278 
5.0000000000000004e-08, 7.89473684210526e-06, 100, 0.196 
5.0000000000000004e-08, 3.15789473684211e-05, 100, 0.114 
5.0000000000000004e-08, 5.526315789473687e-05, 100, 0.04 
5.0000000000000004e-08, 7.894736842105266e-05, 100, 0.008 
5.0000000000000004e-08, 0.00010263157894736844, 100, 0.0 
5.0000000000000004e-08, 0.0001263157894736842, 100, 0.0 
5.0000000000000004e-08, 0.00015, 100, 0.0 
3.3333333333333334e-08, -0.0003, 100, 0.002 
3.3333333333333334e-08, -0.0002763157894736842, 100, 0.002 
3.3333333333333334e-08, -0.0002526315789473684, 100, 0.002 
3.3333333333333334e-08, -0.00022894736842105263, 100, 0.002 
3.3333333333333334e-08, -0.0002052631578947368, 100, 0.002 
3.3333333333333334e-08, -0.00018157894736842105, 100, 0.002 
3.3333333333333334e-08, -0.00015789473684210527, 100, 0.002 
3.3333333333333334e-08, -0.00013421052631578946, 100, 0.004 
3.3333333333333334e-08, -0.00011052631578947366, 100, 0.03 
3.3333333333333334e-08, -8.684210526315788e-05, 100, 0.136 
3.3333333333333334e-08, -6.315789473684208e-05, 100, 0.31 
3.3333333333333334e-08, -3.9473684210526296e-05, 100, 0.362 
3.3333333333333334e-08, -1.578947368421052e-05, 100, 0.29 
3.3333333333333334e-08, 7.89473684210526e-06, 100, 0.218 
3.3333333333333334e-08, 3.15789473684211e-05, 100, 0.142 
3.3333333333333334e-08, 5.526315789473687e-05, 100, 0.048 
3.3333333333333334e-08, 7.894736842105266e-05, 100, 0.012 
3.3333333333333334e-08, 0.00010263157894736844, 100, 0.0 
3.3333333333333334e-08, 0.0001263157894736842, 100, 0.0 
3.3333333333333334e-08, 0.00015, 100, 0.0 
2.5000000000000002e-08, -0.0003, 100, 0.002 
2.5000000000000002e-08, -0.0002763157894736842, 100, 0.002 
2.5000000000000002e-08, -0.0002526315789473684, 100, 0.002 
2.5000000000000002e-08, -0.00022894736842105263, 100, 0.002 
2.5000000000000002e-08, -0.0002052631578947368, 100, 0.002 
2.5000000000000002e-08, -0.00018157894736842105, 100, 0.002 
2.5000000000000002e-08, -0.00015789473684210527, 100, 0.002 
2.5000000000000002e-08, -0.00013421052631578946, 100, 0.002 
2.5000000000000002e-08, -0.00011052631578947366, 100, 0.002 
2.5000000000000002e-08, -8.684210526315788e-05, 100, 0.002 
2.5000000000000002e-08, -6.315789473684208e-05, 100, 0.02 
2.5000000000000002e-08, -3.9473684210526296e-05, 100, 0.122 
2.5000000000000002e-08, -1.578947368421052e-05, 100, 0.252 
2.5000000000000002e-08, 7.89473684210526e-06, 100, 0.242 
2.5000000000000002e-08, 3.15789473684211e-05, 100, 0.148 
2.5000000000000002e-08, 5.526315789473687e-05, 100, 0.056 
2.5000000000000002e-08, 7.894736842105266e-05, 100, 0.014 
2.5000000000000002e-08, 0.00010263157894736844, 100, 0.002 
2.5000000000000002e-08, 0.0001263157894736842, 100, 0.0 
2.5000000000000002e-08, 0.00015, 100, 0.0 
1.4285714285714288e-08, -0.0003, 100, 0.002 
1.4285714285714288e-08, -0.0002763157894736842, 100, 0.002 
1.4285714285714288e-08, -0.0002526315789473684, 100, 0.002 
1.4285714285714288e-08, -0.00022894736842105263, 100, 0.002 
1.4285714285714288e-08, -0.0002052631578947368, 100, 0.002 
1.4285714285714288e-08, -0.00018157894736842105, 100, 0.002 
1.4285714285714288e-08, -0.00015789473684210527, 100, 0.002 
1.4285714285714288e-08, -0.00013421052631578946, 100, 0.002 
1.4285714285714288e-08, -0.00011052631578947366, 100, 0.002 
1.4285714285714288e-08, -8.684210526315788e-05, 100, 0.002 
1.4285714285714288e-08, -6.315789473684208e-05, 100, 0.002 
1.4285714285714288e-08, -3.9473684210526296e-05, 100, 0.002 
1.4285714285714288e-08, -1.578947368421052e-05, 100, 0.002 
1.4285714285714288e-08, 7.89473684210526e-06, 100, 0.02 
1.4285714285714288e-08, 3.15789473684211e-05, 100, 0.138 
