noise,gamma,frequency,up,down
500, -300.0, 0.022222222222222223, 0.3012506314217675, 25.021954049148206 
500, -250.00000000000003, 0.0, 0.0, 0.0 
500, -200.0, 0.0, 0.0, 0.0 
500, -150.0, 0.0, 0.0, 0.0 
500, -100.0, 0.0, 0.0, 0.0 
500, -50.0, 0.0, 0.0, 0.0 
500, 0.0, 0.0, 0.0, 0.0 
500, 50.0, 0.0, 0.0, 0.0 
500, 100.0, 0.0, 0.0, 0.0 
1000, -300.0, 0.4, 0.3044840659676156, 2.209677919975319 
1000, -250.00000000000003, 0.3, 0.29470049792116526, 3.0612772634644045 
1000, -200.0, 0.18333333333333332, 0.2834623258827667, 5.29442988859222 
1000, -150.0, 0.05, 0.2747725493896719, 17.711463843818173 
1000, -100.0, 0.016666666666666666, 0.2614502439647181, 37.760742496489016 
1000, -50.0, 0.0, 0.0, 0.0 
1000, 0.0, 0.0, 0.0, 0.0 
1000, 50.0, 0.0, 0.0, 0.0 
1000, 100.0, 0.0, 0.0, 0.0 
1500, -300.0, 0.65, 0.3030312087814488, 1.2359854993596293 
1500, -250.00000000000003, 0.5555555555555556, 0.29107905122981526, 1.5224064524365943 
1500, -200.0, 0.4666666666666667, 0.28355099707147174, 1.8605321819615583 
1500, -150.0, 0.35555555555555557, 0.2764898778233573, 2.557026207670952 
1500, -100.0, 0.22777777777777777, 0.2597849557865989, 4.202895936141749 
1500, -50.0, 0.05, 0.23702601735230278, 17.74830834475906 
1500, 0.0, 0.016666666666666666, 0.19850235083181142, 37.799710239857006 
1500, 50.0, 0.0, 0.0, 0.0 
1500, 100.0, 0.0, 0.0, 0.0 
2000, -300.0, 0.85, 0.30033962083020815, 0.8808432259728861 
2000, -250.00000000000003, 0.7555555555555555, 0.2904727883748518, 1.0329893588085417 
2000, -200.0, 0.6833333333333333, 0.2787692410171579, 1.184445771619467 
2000, -150.0, 0.5777777777777777, 0.26287854882518186, 1.4798235786159104 
2000, -100.0, 0.43333333333333335, 0.2544816534347422, 2.0561810558979565 
2000, -50.0, 0.3, 0.2335474153802315, 3.134820159873949 
2000, 0.0, 0.08333333333333333, 0.19030913299546487, 10.41330866592178 
2000, 50.0, 0.016666666666666666, 0.054288394606686684, 37.942591965539634 
2000, 100.0, 0.0, 0.0, 0.0 
2500, -300.0, 1.0333333333333334, 0.2961956760165733, 0.674349896249546 
2500, -250.00000000000003, 0.9611111111111111, 0.2829854041501998, 0.7609340691755544 
2500, -200.0, 0.85, 0.26952199372219005, 0.911699262978511 
2500, -150.0, 0.7277777777777777, 0.2554679186469859, 1.1178746482078723 
2500, -100.0, 0.6166666666666667, 0.2381362094710489, 1.3788949450429666 
2500, -50.0, 0.4777777777777778, 0.20253002456493704, 1.8903293450225673 
2500, 0.0, 0.25, 0.1616661763318142, 3.8475423626604037 
2500, 50.0, 0.03333333333333333, 0.10541274167494685, 17.536084019339544 
2500, 100.0, 0.0, 0.0, 0.0 
3000, -300.0, 1.2055555555555555, 0.2857174065308407, 0.5456039167577948 
3000, -250.00000000000003, 1.1333333333333333, 0.2696493392887521, 0.6149343207881532 
3000, -200.0, 1.0277777777777777, 0.25154853047319836, 0.7244003574818622 
3000, -150.0, 0.8833333333333333, 0.24207634414154236, 0.8943356381999119 
3000, -100.0, 0.7833333333333333, 0.20990426010242347, 1.065296742458425 
3000, -50.0, 0.5777777777777777, 0.1786021571032867, 1.553985490004579 
3000, 0.0, 0.34444444444444444, 0.14243048630533256, 2.7739169279637284 
3000, 50.0, 0.05555555555555555, 0.10920959872105866, 14.961615107494351 
3000, 100.0, 0.005555555555555556, 0.027976841392402953, 0.0 
3500, -300.0, 1.3055555555555556, 0.2907253015027868, 0.47590947151866164 
3500, -250.00000000000003, 1.2666666666666666, 0.26237929947461613, 0.5287165252316957 
3500, -200.0, 1.2055555555555555, 0.23412877404886523, 0.5973296178903759 
3500, -150.0, 1.0944444444444446, 0.21000382847216179, 0.7063081909181526 
3500, -100.0, 0.8944444444444445, 0.18644814683938818, 0.9359439963585696 
3500, -50.0, 0.7222222222222222, 0.14295089919156664, 1.2410192234929043 
3500, 0.0, 0.4111111111111111, 0.11930664601509292, 2.3257597192947657 
3500, 50.0, 0.1, 0.09292308033905267, 9.617333103022888 
3500, 100.0, 0.022222222222222223, 0.0681935508939822, 26.786160345047705 
4000, -300.0, 1.488888888888889, 0.2687625989199819, 0.40279017474985274 
4000, -250.00000000000003, 1.4333333333333333, 0.2476515886655581, 0.4509107927586012 
4000, -200.0, 1.3833333333333333, 0.21462956333268168, 0.5096184717345982 
4000, -150.0, 1.2333333333333334, 0.1898248491901523, 0.6229277931297141 
4000, -100.0, 1.0333333333333334, 0.16294576228029162, 0.8079582171694811 
4000, -50.0, 0.8277777777777777, 0.1303551821253406, 1.0759201879885314 
4000, 0.0, 0.5, 0.10783296049381344, 1.8979570032571664 
4000, 50.0, 0.18333333333333332, 0.07778409690160519, 5.193825666531593 
4000, 100.0, 0.027777777777777776, 0.08053333629384565, 27.013638710178792 
