tau,beta,gamma,frequency,up,down
0.2, 2.5000000000000002e-08, 0, 0.35333333333333333, 1.1147040480669705, 1.7382541034879715 
0.275, 2.5000000000000002e-08, 0, 0.32666666666666666, 1.0159092308443, 2.0772699118875253 
0.35000000000000003, 2.5000000000000002e-08, 0, 0.3, 1.1418435465215664, 2.2300575367861866 
0.4, 2.5000000000000002e-08, 0, 0.29333333333333333, 1.1250869590751975, 2.325782745728391 
0.8, 2.5000000000000002e-08, 0, 0.23333333333333334, 1.6635475427741777, 2.6859202212077182 
1.2, 2.5000000000000002e-08, 0, 0.19333333333333333, 1.8456838620763145, 3.4341601628097043 
1.6, 2.5000000000000002e-08, 0, 0.18, 2.1070921403257947, 3.479044149478185 
0.2, 3.3333333333333334e-08, 0, 0.34, 0.4308857123492625, 2.534062830921285 
0.275, 3.3333333333333334e-08, 0, 0.3333333333333333, 0.48817507942110844, 2.537051290955746 
0.35000000000000003, 3.3333333333333334e-08, 0, 0.31333333333333335, 0.5001414906582865, 2.7233165779962922 
0.4, 3.3333333333333334e-08, 0, 0.30666666666666664, 0.5375747047787605, 2.757394321640504 
0.8, 3.3333333333333334e-08, 0, 0.24666666666666667, 0.8096282017520255, 3.318953173181307 
1.2, 3.3333333333333334e-08, 0, 0.22666666666666666, 1.0372931515478938, 3.4605625079088114 
1.6, 3.3333333333333334e-08, 0, 0.21333333333333335, 1.1848855137230352, 3.6003591271380113 
0.2, 5.0000000000000004e-08, 0, 0.30666666666666664, 0.22573229432676584, 3.071726529425216 
0.275, 5.0000000000000004e-08, 0, 0.2866666666666667, 0.27814231661665695, 3.2542912135849824 
0.35000000000000003, 5.0000000000000004e-08, 0, 0.2866666666666667, 0.3221218860582984, 3.209882944846215 
0.4, 5.0000000000000004e-08, 0, 0.3, 0.3426152244326192, 3.028696040720763 
0.8, 5.0000000000000004e-08, 0, 0.24, 0.5005028338517074, 3.7374874291537075 
1.2, 5.0000000000000004e-08, 0, 0.21333333333333335, 0.670927295553084, 4.116201562362032 
1.6, 5.0000000000000004e-08, 0, 0.19333333333333333, 0.7613127282072224, 4.5454134607242525 
0.2, 7.500000000000001e-08, 0, 0.16, 0.14019407388660599, 6.312208134123004 
0.275, 7.500000000000001e-08, 0, 0.2, 0.1736941304970396, 4.944019974641282 
0.35000000000000003, 7.500000000000001e-08, 0, 0.22666666666666666, 0.19950770469960624, 4.29779146653718 
0.4, 7.500000000000001e-08, 0, 0.24, 0.2192266792763633, 4.020891628601304 
0.8, 7.500000000000001e-08, 0, 0.20666666666666667, 0.3513606591645847, 4.593770188279643 
1.2, 7.500000000000001e-08, 0, 0.18, 0.44104337839227853, 5.264962444996944 
1.6, 7.500000000000001e-08, 0, 0.18, 0.5535242399956785, 5.151844040048425 
0.2, 1.0000000000000001e-07, 0, 0.07333333333333333, 0.07301837750258987, 13.027159688043213 
0.275, 1.0000000000000001e-07, 0, 0.11333333333333333, 0.12540484295403823, 9.150035964275487 
0.35000000000000003, 1.0000000000000001e-07, 0, 0.13333333333333333, 0.15539564033060493, 7.65602659253212 
0.4, 1.0000000000000001e-07, 0, 0.14666666666666667, 0.16642559300186058, 6.901335149941535 
0.8, 1.0000000000000001e-07, 0, 0.16, 0.27876476033806424, 6.172694543709771 
1.2, 1.0000000000000001e-07, 0, 0.16666666666666666, 0.34645585385184047, 5.835786452124224 
1.6, 1.0000000000000001e-07, 0, 0.14666666666666667, 0.4111370584007765, 6.654294829041248 
