tau,beta,gamma,frequency,up,down
0.7000000000000001, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
0.7000000000000001, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
0.7000000000000001, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
0.7000000000000001, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
0.7000000000000001, 5e-08, -220.0, 0.016666666666666666, 59.48276149187617, 0.6739421256848497 
0.7000000000000001, 5e-08, -180.0, 0.11666666666666667, 7.8558304514596236, 0.7405369999278375 
0.7000000000000001, 5e-08, -140.0, 0.35555555555555557, 1.8459407212918193, 0.9650424291637952 
0.7000000000000001, 5e-08, -100.0, 0.4722222222222222, 0.8528117084779167, 1.2652264831571958 
0.7000000000000001, 5e-08, -60.0, 0.4111111111111111, 0.5926445571406131, 1.8470190239023596 
0.7000000000000001, 5e-08, -20.0, 0.3055555555555556, 0.5029291409787553, 2.800977709192576 
0.8, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
0.8, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
0.8, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
0.8, 5e-08, -260.0, 0.005555555555555556, 179.80815880188064, 0.0 
0.8, 5e-08, -220.0, 0.022222222222222223, 44.59283704044985, 0.4749401883996025 
0.8, 5e-08, -180.0, 0.12777777777777777, 7.037956744501592, 0.8140988343487385 
0.8, 5e-08, -140.0, 0.3277777777777778, 2.0048658403387556, 1.0454966300883883 
0.8, 5e-08, -100.0, 0.45, 0.9255795048666504, 1.2976008748313894 
0.8, 5e-08, -60.0, 0.38333333333333336, 0.6543424078667247, 1.9708979462425384 
0.8, 5e-08, -20.0, 0.3, 0.5458259551815442, 2.821607732048219 
0.9, 5e-08, -380.0, 0.005555555555555556, 179.8341372974593, 0.0 
0.9, 5e-08, -340.0, 0.005555555555555556, 179.82614391420432, 0.0 
0.9, 5e-08, -300.0, 0.005555555555555556, 179.81815053094937, 0.0 
