tau,gamma,seed,frequency
0.1, -0.00019999999999999998, 100, 0.0 
0.1, -0.00015, 100, 0.0 
0.1, -7.5e-05, 100, 0.0 
0.1, 0.0, 100, 0.0 
0.1, 7.5e-05, 100, 0.0 
0.1, 0.00011499999999999999, 100, 0.0 
0.1, 0.00015, 100, 0.0 
0.4, -0.00019999999999999998, 100, 1.2366666666666666 
0.4, -0.00015, 100, 1.1233333333333333 
0.4, -7.5e-05, 100, 0.8866666666666667 
0.4, 0.0, 100, 0.5066666666666667 
0.4, 7.5e-05, 100, 0.0033333333333333335 
0.4, 0.00011499999999999999, 100, 0.0 
0.4, 0.00015, 100, 0.0 
0.8, -0.00019999999999999998, 100, 0.8533333333333334 
0.8, -0.00015, 100, 0.7766666666666666 
0.8, -7.5e-05, 100, 0.6266666666666667 
0.8, 0.0, 100, 0.43666666666666665 
0.8, 7.5e-05, 100, 0.19333333333333333 
0.8, 0.00011499999999999999, 100, 0.023333333333333334 
0.8, 0.00015, 100, 0.0 
1.2, -0.00019999999999999998, 100, 0.6733333333333333 
1.2, -0.00015, 100, 0.6166666666666667 
1.2, -7.5e-05, 100, 0.49333333333333335 
1.2, 0.0, 100, 0.37666666666666665 
1.2, 7.5e-05, 100, 0.20333333333333334 
1.2, 0.00011499999999999999, 100, 0.07 
1.2, 0.00015, 100, 0.006666666666666667 
1.6, -0.00019999999999999998, 100, 0.57 
1.6, -0.00015, 100, 0.5033333333333333 
1.6, -7.5e-05, 100, 0.42333333333333334 
1.6, 0.0, 100, 0.32 
1.6, 7.5e-05, 100, 0.19 
1.6, 0.00011499999999999999, 100, 0.07333333333333333 
1.6, 0.00015, 100, 0.01 
